Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
gag	LPB	0.0188385	0.133159	0.141474	9.66106e-017	1284	429.757	888.513	831:228.5:224.5	66	57.2259	16.7383	11.5:13.3333:33.1667	4:1:3	0.0576045	14.5:14.5:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
gag	MLPB	0.0191777	0.131974	0.145314	4.94869e-016	1284	429.548	898.862	831:228.5:224.5	66	56.689	17.2381	11:12.8333:33.1667	4.5:1.5:3	0.0575756	12.6667:12.6667:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
gag	GY-HKY	0.0207522	0.133732	0.155177	5.29308e-014	1284	425.354	858.646	NA	66	50.257	15.743	NA	NA	0.0581794	12.1773:12.1773:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	-1971.32	3948.69	NA	HKY
gag	YN	0.0200004	0.131555	0.152031	2.25187e-012	1284	420.794	863.206	NA	66	49	17	NA	NA	0.0565592	9.31376:9.31376:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
gag	MYN	0.0197234	0.137844	0.143085	4.45789e-013	1284	408.794	875.206	NA	66	49	17	NA	NA	0.05733	6.5462:14.5479:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
gag	MS	0.0207522	0.133732	0.155177	5.29308e-014	1284	425.354	858.646	NA	66	50.257	15.743	NA	NA	0.0581794	12.1773:12.1773:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	-1971.32	3948.69	0.342867	HKY
gag	MA	0.0232354	0.151461	0.153409	2.36683e-014	1284	349.634	934.366	NA	66	46.8094	19.1906	NA	NA	0.0581512	15.0604:17.1498:13.7657:13.7595:3.57008:1	0.564491(0.651515:0.470862:0.571096)	-1985.71	NA	NA	NA
pol	NG	0.0308543	0.191866	0.160812	2.48324e-026	2193	544.432	1648.57	NA	142	92.1667	49.8333	NA	NA	0.0708268	1:1:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	LWL	0.0303889	0.202174	0.150311	4.27759e-034	2193	515.667	1677.33	1413:396.5:383.5	142	104.254	50.9723	26:37.8333:42.1667	20.3333:3.5:12.1667	0.0707828	5.88889:5.88889:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	MLWL	0.0333564	0.1568	0.212732	2.57302e-023	2193	664.887	1528.11	1413:396.5:383.5	142	104.254	50.9723	26:37.8333:42.1667	20.3333:3.5:12.1667	0.0707828	5.88889:5.88889:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	LPB	0.0323268	0.150321	0.215052	1.19847e-022	2193	693.546	1576.78	1413:396.5:383.5	142	104.254	50.9723	26:37.8333:42.1667	20.3333:3.5:12.1667	0.0707828	5.88889:5.88889:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	MLPB	0.0323268	0.150321	0.215052	1.19847e-022	2193	693.546	1576.78	1413:396.5:383.5	142	104.254	50.9723	26:37.8333:42.1667	20.3333:3.5:12.1667	0.0707828	5.88889:5.88889:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	GY-HKY	0.0343671	0.152935	0.224716	6.50552e-020	2193	703.886	1489.11	NA	142	96.245	45.755	NA	NA	0.0724239	4.35267:4.35267:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	-3467.59	6941.22	NA	HKY
pol	YN	0.0331404	0.159715	0.207498	7.12315e-019	2193	665.843	1527.16	NA	142	92.5412	49.4588	NA	NA	0.0715711	3.85892:3.85892:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	MYN	0.0317728	0.180264	0.176257	1.25446e-022	2193	602.546	1590.45	NA	142	92.5901	49.4099	NA	NA	0.0725719	2.03946:8.24106:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	NA	NA	NA	NA
pol	MS	0.0336431	0.169116	0.198934	5.46918e-023	2193	661.51	1531.49	NA	142	97.2229	44.7771	NA	NA	0.0745081	2.71639:7.63601:1:1:1:1	0.358744(0.395277:0.311088:0.369867)	-3455.88	6919.82	0.657637	TN
pol	MA	0.0333063	0.167192	0.19921	2.2299e-022	2193	674.672	1518.33	NA	142	98.0449	43.9551	NA	NA	0.0744959	2.61098:7.33389:0.766135:0.775636:0.721615:1	0.358744(0.395277:0.311088:0.369867)	-3455.69	NA	NA	NA
pro	NG	0.0108554	0.0921551	0.117795	0.00010693	498	126.847	371.153	NA	15	11	4	NA	NA	0.0315636	1:1:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	LWL	0.0107068	0.0979397	0.10932	1.59563e-005	498	120.5	377.5	319.5:87:91.5	15	11.8017	4.04181	3.5:2:6	0:0.5:3	0.0318143	6.57143:6.57143:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	MLWL	0.0104444	0.0773882	0.134961	4.50377e-005	498	159.167	338.833	319.5:87:91.5	15	12.3176	3.53891	3.5:2.5:6	0:0:3	0.0318404	8:8:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	LPB	0.0123135	0.0826443	0.148994	0.000198092	498	142.801	328.241	319.5:87:91.5	15	11.8017	4.04181	3.5:2:6	0:0.5:3	0.0318143	6.57143:6.57143:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	MLPB	0.0110764	0.0855344	0.129496	3.10373e-005	498	144.008	319.5	319.5:87:91.5	15	12.3176	3.53891	3.5:2.5:6	0:0:3	0.0318404	8:8:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	GY-HKY	0.0118782	0.0776372	0.152996	9.81174e-005	498	153.765	344.235	NA	15	11.1731	3.82693	NA	NA	0.0321822	4.63618:4.63618:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	-744.812	1495.77	NA	HKY
pro	YN	0.0116823	0.0760792	0.153555	0.000698592	498	152.929	345.071	NA	15	11	4	NA	NA	0.0314577	4.1124:4.1124:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	MYN	0.0115654	0.0790815	0.146247	0.000488023	498	147.467	350.533	NA	15	11	4	NA	NA	0.0315581	1.96216:3.83979:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	NA	NA	NA	NA
pro	MS	0.0119347	0.0794056	0.1503	9.88123e-005	498	153.861	344.139	NA	15	11.2261	3.77391	NA	NA	0.0327804	2.86104:7.14912:1:1:1:1	0.343062(0.380952:0.301075:0.347158)	-743.75	1495.75	0.302399	TN
pro	MA	0.0122416	0.0804513	0.152162	0.000467338	498	146.824	351.176	NA	15	10.9975	4.00249	NA	NA	0.0323517	3.58861:5.6338:2.7125:2.36778:0.826409:1	0.343062(0.380952:0.301075:0.347158)	-744.655	NA	NA	NA
rex	NG	0.0220265	0.138256	0.159316	1.76121e-007	735	182.162	552.838	NA	35	23	12	NA	NA	0.0508328	1:1:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	LWL	0.0208394	0.147443	0.141339	8.98373e-010	735	173	562	481:121.5:132.5	35	25.5077	11.7118	8.5:9.5:7	2.5:0.5:7	0.0506387	5:5:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	MLWL	0.0232004	0.119588	0.194002	4.87167e-007	735	208.695	526.305	481:121.5:132.5	35	24.9575	12.2105	8:9:7	3:1:7	0.0505687	4.36364:4.36364:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	LPB	0.0230847	0.127132	0.18158	7.684e-008	735	200.639	507.339	481:121.5:132.5	35	25.5077	11.7118	8.5:9.5:7	2.5:0.5:7	0.0506387	5:5:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	MLPB	0.0236972	0.124966	0.189629	3.32059e-007	735	199.714	515.271	481:121.5:132.5	35	24.9575	12.2105	8:9:7	3:1:7	0.0505687	4.36364:4.36364:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	GY-HKY	0.0228769	0.130771	0.174938	2.38018e-007	735	201.802	533.198	NA	35	23.9362	11.0638	NA	NA	0.0525005	3.74293:3.74293:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	-1134.81	2275.72	NA	HKY
rex	YN	0.0232317	0.121069	0.191887	4.99617e-006	735	208.729	526.271	NA	35	23	12	NA	NA	0.0510161	6.72462:6.72462:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	MYN	0.0223055	0.13726	0.162506	2.90354e-007	735	186.618	548.382	NA	35	23	12	NA	NA	0.0514926	2.90315:13.3874:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	NA	NA	NA	NA
rex	MS	0.0231595	0.150752	0.153626	2.47324e-008	735	181.965	553.035	NA	35	23.8597	11.1403	NA	NA	0.0547479	2.01466:9.34824:1:1:1:1	0.442652(0.467742:0.372312:0.487903)	-1128.42	2265	0.463342	TN
rex	MA	0.0227672	0.145609	0.156358	8.293e-009	735	189.712	545.288	NA	35	24.1476	10.8524	NA	NA	0.0544742	1.66241:7.60417:0.467965:0.35022:0.0127136:1	0.442652(0.467742:0.372312:0.487903)	-1126.42	NA	NA	NA
tax	NG	0.0220265	0.138256	0.159316	1.76121e-007	735	182.162	552.838	NA	35	23	12	NA	NA	0.0508328	1:1:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	LWL	0.0208394	0.147443	0.141339	8.98373e-010	735	173	562	481:121.5:132.5	35	25.5077	11.7118	8.5:9.5:7	2.5:0.5:7	0.0506387	5:5:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	MLWL	0.0232004	0.119588	0.194002	4.87167e-007	735	208.695	526.305	481:121.5:132.5	35	24.9575	12.2105	8:9:7	3:1:7	0.0505687	4.36364:4.36364:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	LPB	0.0230847	0.127132	0.18158	7.684e-008	735	200.639	507.339	481:121.5:132.5	35	25.5077	11.7118	8.5:9.5:7	2.5:0.5:7	0.0506387	5:5:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	MLPB	0.0236972	0.124966	0.189629	3.32059e-007	735	199.714	515.271	481:121.5:132.5	35	24.9575	12.2105	8:9:7	3:1:7	0.0505687	4.36364:4.36364:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	GY-HKY	0.0228769	0.130771	0.174938	2.38018e-007	735	201.802	533.198	NA	35	23.9362	11.0638	NA	NA	0.0525005	3.74293:3.74293:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	-1134.81	2275.72	NA	HKY
tax	YN	0.0232317	0.121069	0.191887	4.99617e-006	735	208.729	526.271	NA	35	23	12	NA	NA	0.0510161	6.72462:6.72462:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	MYN	0.0223055	0.13726	0.162506	2.90354e-007	735	186.618	548.382	NA	35	23	12	NA	NA	0.0514926	2.90315:13.3874:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	NA	NA	NA	NA
tax	MS	0.0231595	0.150752	0.153626	2.47324e-008	735	181.965	553.035	NA	35	23.8597	11.1403	NA	NA	0.0547479	2.01466:9.34824:1:1:1:1	0.449953(0.478754:0.369688:0.501416)	-1128.42	2265	0.463342	TN
tax	MA	0.0227672	0.145609	0.156358	8.293e-009	735	189.712	545.288	NA	35	24.1476	10.8524	NA	NA	0.0544742	1.66241:7.60417:0.467965:0.35022:0.0127136:1	0.449953(0.478754:0.369688:0.501416)	-1126.42	NA	NA	NA
